mtSNP	Position	Info	Haplogroups
4850T	4850	VARIANT	M7c1a1a1,M7c1a1a,M7c1a1b1,M7c1a1b,M7c1a1,M7c1a2a1,M7c1a2a,M7c1a2,M7c1a3a,M7c1a3,M7c1a4a,M7c1a4b,M7c1a4,M7c1a5,M7c1a,M7c1b1,M7c1b2a,M7c1b2b,M7c1b2,M7c1b,M7c1c1a1,M7c1c1a,M7c1c1,M7c1c2a,M7c1c2,M7c1c3a1,M7c1c3a,M7c1c3b,M7c1c3c,M7c1c3d,M7c1c3e,M7c1c3f,M7c1c3g,M7c1c3h,M7c1c3i,M7c1c3,M7c1c,M7c1,M7c2a,M7c2b,M7c2,M7c3,M7c
3349G	3349	VARIANT	D1h2,L1c2b1a1
14494C	14494	VARIANT	H2a1a2
11734G	11734	VARIANT	U6a6b2,M25
5267C	5267	VARIANT	L6a,L6b,L6
8557C	8557	VARIANT	U6a6a1,U6a6a,U6a6b1,U6a6b2,U6a6b,U6a6,M9a1b1a1
8557A	8557	VARIANT	H5a7,H7c6,H32,J1b1a1a,J1b1a1b,J1b1a1c,J1b1a1d,J1b1a1e,J1b1a1+146,J1b1a1,J1b1a2a,J1b1a2b,J1b1a2,J1b1a3,J1b1a,R7b1a1,R7b1a,R7b1,R7b2,R7b,B5a2a2a1,D1g2a
15388C	15388	VARIANT	L3i2
2322A	2322	VARIANT	R9b1b
6332G	6332	VARIANT	B4f1,B4f
15691G	15691	VARIANT	M20
9755A	9755	VARIANT	J1c3g,P4a1,P4a,N9a10a1,N9a10a2a,N9a10a2,N9a10a,D4c1a1,D4c1a,L1b1a6,L0a1a1,L0a1a2,L0a1a3,L0a1a+200,L0a1a,L0a1b1a1a,L0a1b1a1,L0a1b1a,L0a1b1,L0a1b2a,L0a1b2,L0a1b,L0a1c1,L0a1c,L0a1d,L0a1+16293,L0a1e,L0a1,L0a4,L0a1'4,L0a2a1a1,L0a2a1a2,L0a2a1a,L0a2a1b,L0a2a1,L0a2a2a1,L0a2a2a2,L0a2a2a,L0a2a2,L0a2a,L0a2b1,L0a2b,L0a2c,L0a2d,L0a2,L0a3,L0a,L0g,L0a'g,L0b,L0a'b'g,L0d1a1a1,L0d1a1a2,L0d1a1a3,L0d1a1a,L0d1a1b1a,L0d1a1b1b,L0d1a1b1,L0d1a1b,L0d1a1c,L0d1a1d,L0d1a1,L0d1a,L0d1d,L0d1a'd,L0d1c1a1a1,L0d1c1a1a2,L0d1c1a1a,L0d1c1a1b,L0d1c1a1,L0d1c1a2,L0d1c1a,L0d1c1,L0d1c2a1,L0d1c2a,L0d1c2,L0d1c3,L0d1c,L0d1a'c'd,L0d1b1a1,L0d1b1a,L0d1b1b1,L0d1b1b,L0d1b1c,L0d1b1+@152,L0d1b1,L0d1b2a1,L0d1b2a2,L0d1b2a,L0d1b2b1a,L0d1b2b1b1,L0d1b2b1b,L0d1b2b1,L0d1b2b2a,L0d1b2b2b1,L0d1b2b2b,L0d1b2b2c1,L0d1b2b2c2,L0d1b2b2c,L0d1b2b2,L0d1b2b,L0d1b2,L0d1b,L0d1,L0d2a1a1a,L0d2a1a1,L0d2a1a2,L0d2a1a3,L0d2a1a,L0d2a1b,L0d2a1c,L0d2a1,L0d2a2,L0d2a,L0d2b1a1a,L0d2b1a1,L0d2b1a,L0d2b1b,L0d2b1,L0d2b2,L0d2b,L0d2d,L0d2a'b'd,L0d2c1a1,L0d2c1a,L0d2c1b,L0d2c1,L0d2c2a1a,L0d2c2a1,L0d2c2a,L0d2c2b,L0d2c2,L0d2c,L0d2,L0d1'2
16017C	16017	VARIANT	I5b1,N22a,M2a1b,G1b1,G1b2,G1b3,G1b4,G1b+16129,G1b,M31a2,L1c3b1a,L1c3b1b,L1c3b1
13959T	13959	VARIANT	H7c2
391C	391	VARIANT	L4b2a2c
15944.1T	15944	INSERTION	L2b3a,L2b3b,L2b3c,L2b3
5309G	5309	VARIANT	H1am1
9269T	9269	VARIANT	M31c
14540C	14540	VARIANT	B4a1a1a7
10845T	10845	VARIANT	M3a1b
5082C	5082	VARIANT	H5d,H8c1,H49a1,M6a1a,M6a1b,M6a1,M6a2,M6a
3705A	3705	VARIANT	H6a1a2b1,T1a1l,U5a1b1c2,I5a2a,X2b4a1,X2b4a,X2b4,M1a1a1,M1a1a,M1a1b1a,M1a1b1b1,M1a1b1b,M1a1b1c,M1a1b1,M1a1b2,M1a1b,M1a1c,M1a1d,M1a1+16093,M1a1e1,M1a1e2,M1a1e,M1a1f,M1a1g,M1a1h,M1a1i,M1a1,M1b2b,C1c3,E1a1a1a,E1a1a1b1,E1a1a1b2,E1a1a1b,E1a1a1c,E1a1a1,E1a1a,E1a1b1,E1a1b2,E1a1b3,E1a1b4,E1a1b,E1a1c,E1a1,E1a2a1,E1a2a2,E1a2a3,E1a2a4,E1a2a,E1a2+(16261),E1a2,E1a,E1,E2a1a,E2a1,E2a2,E2a,E2b1,E2b2,E2b,E2,E
10978G	10978	VARIANT	R11a,U5b3a2,K1a1b1a,M62b1a1,M62b1a,L6a,L6b,L6,L0k1a2a
11078G	11078	VARIANT	Z1a2a
921C	921	VARIANT	L3d1a1a1,L3d1a1a,L3d1a1b,L3d1a1,L3d1a2,L3d1a1'2,L3d1a,L3d1b1a,L3d1b1b,L3d1b1,L3d1b2,L3d1b3a,L3d1b3,L3d1b,L3d1c1,L3d1c,L3d1d,L3d1,L3d2a,L3d2b,L3d2,L3d3a1a,L3d3a1b,L3d3a1,L3d3a,L3d3b,L3d3,L3d4a,L3d4,L3d5a,L3d5,L3d6,L3d1'2'3'4'5'6
10181T	10181	VARIANT	D4b1a1a,D4b1a1,D4b1a2a1,D4b1a2a2,D4b1a2a,D4b1a2,D4b1a,D4b1b1a1,D4b1b1a,D4b1b1,D4b1b2,D4b1b,D4b1d,D4b1b'd,D3,D4b1c,D4b1
390T	390	VARIANT	M53b,M53
10978C	10978	VARIANT	Q2a2a
7175C	7175	VARIANT	M7b1a2a1a,L2a1a1,L2a1a2a1a,L2a1a2a1,L2a1a2a,L2a1a2b,L2a1a2c,L2a1a2,L2a1a3a,L2a1a3b,L2a1a3c,L2a1a3,L2a1a,L2a1b1a,L2a1b1,L2a1b2,L2a1b3,L2a1b+143,L2a1b,L2a1f1a,L2a1f1,L2a1f2,L2a1f3,L2a1f,L2a1g,L2a1+16189  (16192),L2a1c1a1,L2a1c1a2,L2a1c1a,L2a1c1,L2a1c6,L2a1c+16086,L2a1c2a,L2a1c2,L2a1c3a1,L2a1c3a,L2a1c3b1,L2a1c3b2,L2a1c3b,L2a1c3,L2a1c4a1,L2a1c4a,L2a1c4,L2a1c5,L2a1c+16129,L2a1c,L2a1d1,L2a1d2,L2a1d,L2a1h,L2a1+143+@16309,L2a1e1,L2a1e,L2a1i1,L2a1i,L2a1q,L2a1+143+16189  (16192)+@16309,L2a1j,L2a1k,L2a1l1a1,L2a1l1a2,L2a1l1a,L2a1l1b,L2a1l1,L2a1l2a1,L2a1l2a,L2a1l2,L2a1l3,L2a1l,L2a1m1a,L2a1m1,L2a1m,L2a1n,L2a1o,L2a1p,L2a1+143+16189  (16192),L2a1+143,L2a1,L2a2a1,L2a2a,L2a2b1a,L2a2b1,L2a2b2,L2a2b,L2a2,L2a3,L2a2'3,L2a4a,L2a4b,L2a4,L2a2'3'4,L2a1'2'3'4,L2a5,L2a
9136G	9136	VARIANT	L0k1a1a,L0k1a1b,L0k1a1c,L0k1a1d,L0k1a1,L0k1a2a,L0k1a2,L0k1a3,L0k1a,L0k1b,L0k1,L0k2b,L0k2,L0k
5746A	5746	VARIANT	H1e8a,H1e8,HV15,U2e2a1d,L4b2a1
14674C	14674	VARIANT	M27b1
3969T	3969	VARIANT	U6a1a1,U6a1a2,U6a1a
9571T	9571	VARIANT	U6b1b
6281G	6281	VARIANT	M28a1,M28a2a,M28a2,M28a3,M28a4,M28a+204,M28a5a,M28a5b,M28a5,M28a6a,M28a6,M28a7a,M28a7b,M28a7,M28a,M28b1,M28b,M28
4902C	4902	VARIANT	M68a1a,M68a1,M68a2a,M68a2,M68a
12142G	12142	VARIANT	L0d1a1a1,L0d1a1a2,L0d1a1a3,L0d1a1a,L0d1a1b1a,L0d1a1b1b,L0d1a1b1,L0d1a1b,L0d1a1c,L0d1a1d,L0d1a1,L0d1a
11077G	11077	VARIANT	H2a1a2
2639T	2639	VARIANT	N1b1a1,N1b1a2a,N1b1a2b,N1b1a2,N1b1a3,N1b1a4a,N1b1a4,N1b1a+16129,N1b1a5,N1b1a6,N1b1a7,N1b1a8a,N1b1a8b,N1b1a8,N1b1a+195,N1b1a,N1b1b1,N1b1b,N1b1,N1b2,N1b
1309G	1309	VARIANT	R31b
11380G	11380	VARIANT	R7b2,F1a1d1,F1a1d,L0a4
4371C	4371	VARIANT	B2k
260A	260	VARIANT	H3c3,G2a1d1a,G2a1d1,G2a1d2a,G2a1d2,G2a1d
5747G	5747	VARIANT	H1a7,T2d1a,T2d1b1,T2d1b2,T2d1b,T2d1,M2b1b
10976T	10976	VARIANT	F1b1a1a1a,F1b1a1a1,F1b1a1a2,F1b1a1a3,F1b1a1a,F1b1a1,F1b1a2,F1b1a,F1b1b,F1b1c,F1b1d,F1b1e1,F1b1e,F1b1f,F1b1+@152,F1b1,F1b
8110C	8110	VARIANT	M6a1b,M7b1a1f
3702G	3702	VARIANT	K1a29a,D5a3a1a,D5a3a1
13477A	13477	VARIANT	B5b3a,G3b1,G3b2,G3b
3172A	3172	VARIANT	P9a,P9
14239T	14239	VARIANT	H13a1a3,H51a,R1b1,R1b,L5a1a,L5a1b,L5a1c,L5a1,L5a2,L5a
8906G	8906	VARIANT	R12
12804C	12804	VARIANT	M7c1a2a1,M7c1a2a,M17a
5084G	5084	VARIANT	B4d3a1
55.1T	55	INSERTION	T2b3a1,M39a1,M39a2,M39a,M39b1,M39b2,M39b,M39c,M39
12937G	12937	VARIANT	U4a1a1,U4a1a2,U4a1a3,U4a1a,U4a1b1a,U4a1b1,U4a1b2,U4a1b,U4a1c,U4a1d,U4a1e,U4a1
15874G	15874	VARIANT	A9,D4e2a,D4e2b,D4e2c,D4e2d,D4e2
14106C	14106	VARIANT	L0a1b2a,L0a1b2
13780G	13780	VARIANT	N1a1a1a1a,N1a1a1a1,N1a1a1a2,N1a1a1a3,N1a1a1a,N1a1a1b,N1a1a1,N1a1a2,N1a1a+152,N1a1a3,N1a1a,N1a1b1,I1a1a1,I1a1a2,I1a1a3a,I1a1a3,I1a1a,I1a1b,I1a1c,I1a1d,I1a1e,I1a1,I1a,I1b,I1c1a,I1c1,I1c,I1d,I1e,I1f,I1,I2a1a,I2a1,I2a2,I2a3,I2a,I2b,I2c,I2d,I2e,I2f,I2,I3a1,I3a,I3b,I3c,I3d1,I3d,I3,I2'3,I4a1,I4a2,I4a,I4b,I4,I5a1a,I5a1b,I5a1c,I5a1,I5a2a,I5a2+16086,I5a2,I5a3,I5a4,I5a,I5b1,I5b,I5c1,I5c,I5,I6a,I6b,I6,I7,I,N1a1b,N1a1,N1a2,N1a1'2,N1a3a1a,N1a3a1,N1a3a2,N1a3a3,N1a3a,N1a3,N1a
4370C	4370	VARIANT	L2b1a2,L2b1a3,L2b1a4,L2b1a,L2b1b,L2b1,L2b2a,L2b2,L2b3a,L2b3b,L2b3c,L2b3,L2b
9004T	9004	VARIANT	D4g1b
15436T	15436	VARIANT	A19
14410C	14410	VARIANT	M5b2b1a
14410A	14410	VARIANT	B5b5,L3h1b1a,L3h1b1,L3h1b2,L3h1b
2638C	2638	VARIANT	A2f1a,A2f1
15304A	15304	VARIANT	H1aq1
11075C	11075	VARIANT	R6a1,R6a2,R6a,Z3a1a
6150A	6150	VARIANT	HV1a1b,L1c2a1a,L1c2a1b,L1c2a1,L1c2a2,L1c2a3a,L1c2a3,L1c2a,L1c2b1a1,L1c2b1a,L1c2b1b1,L1c2b1b,L1c2b1a'b,L1c2b1c,L1c2b1,L1c2b2,L1c2b,L1c2
8245G	8245	VARIANT	H1bn
16327A	16327	VARIANT	HV1a3a,HV1a3,M52a1a,M52a1b1,M52a1b,M52a1,M91a,M91b,M91
14233G	14233	VARIANT	T2a1a1,T2a1a2,T2a1a3a,T2a1a3,T2a1a5,T2a1a6,T2a1a7,T2a1a8,T2a1a,T2a1b1a1a1,T2a1b1a1a2,T2a1b1a1a,T2a1b1a1b1,T2a1b1a1b,T2a1b1a1,T2a1b1a2,T2a1b1a,T2a1b1,T2a1b2a,T2a1b2b,T2a1b2,T2a1b,T2a1,T2a2a,T2a2,T2a3,T2a+195,T2a,T2b1,T2b2b1,T2b2b,T2b2,T2b3a1,T2b3a,T2b3c,T2b3d,T2b3e,T2b3+151,T2b3b,T2b3,T2b4a1,T2b4a,T2b4i,T2b4b,T2b4c,T2b4d,T2b4e,T2b4f,T2b4g,T2b4h,T2b4+152,T2b4,T2b5a1,T2b5a,T2b5,T2b6a,T2b6b,T2b6+146,T2b6,T2b7a1,T2b7a2,T2b7a3,T2b7a,T2b7,T2b8,T2b9,T2b+150,T2b11,T2b13a,T2b13b,T2b13,T2b15,T2b16,T2b+16362,T2b17a,T2b17,T2b19b,T2b19,T2b21a,T2b21b,T2b21,T2b22,T2b+152,T2b23a,T2b23,T2b24a,T2b24,T2b25,T2b26,T2b27,T2b28,T2b29,T2b30,T2b31,T2b32,T2b33,T2b34,T2b35,T2b36,T2b37,T2b,T2c1a1,T2c1a2,T2c1a3,T2c1a,T2c1c1,T2c1c2,T2c1c,T2c1d1a,T2c1d1,T2c1d2a,T2c1d2,T2c1d+152,T2c1d,T2c1e,T2c1f,T2c1+146,T2c1,T2c,T2d1a,T2d1b1,T2d1b2,T2d1b,T2d1,T2d2,T2d,T2e1a1a,T2e1a1b1,T2e1a1b,T2e1a1,T2e1a,T2e1b1,T2e1b,T2e1,T2e2a,T2e2,T2e5,T2e6,T2e7,T2e+152,T2e,T2m,T2+150,T2f1a1,T2f1a,T2f1,T2f2,T2f3,T2f4,T2f5,T2f6,T2f7a,T2f7,T2f8a,T2f8,T2f,T2+16189,T2g1a1,T2g1a,T2g1b,T2g1,T2g2a,T2g2,T2g,T2h1,T2h2,T2h,T2i1,T2i2,T2i,T2j1,T2j,T2k,T2l,T2n,T2,B5b1c1a,B5b1c1,I5a1a,I5a1b,I5a1c,I5a1,I5a2a,I5a2+16086,I5a2,I5a3,I5a4,I5a,I5b1,I5b,I5c1,I5c,I5,M68a1a,M68a1,M68a2a,M68a2,M68a,M72a,M72
4198T	4198	VARIANT	M27b2b1
1872C	1872	VARIANT	M72a,M72
6815C	6815	VARIANT	R9b1a3,M1b1b,M38e,C1c3,M9a4b,M53b,L0d1a1a1,L0d1a1a2,L0d1a1a3,L0d1a1a,L0d1a1b1a,L0d1a1b1b,L0d1a1b1,L0d1a1b,L0d1a1c,L0d1a1d,L0d1a1,L0d1a,L0d1d,L0d1a'd,L0d1c1a1a1,L0d1c1a1a2,L0d1c1a1a,L0d1c1a1b,L0d1c1a1,L0d1c1a2,L0d1c1a,L0d1c1,L0d1c2a1,L0d1c2a,L0d1c2,L0d1c3,L0d1c,L0d1a'c'd,L0d1b1a1,L0d1b1a,L0d1b1b1,L0d1b1b,L0d1b1c,L0d1b1+@152,L0d1b1,L0d1b2a1,L0d1b2a2,L0d1b2a,L0d1b2b1a,L0d1b2b1b1,L0d1b2b1b,L0d1b2b1,L0d1b2b2a,L0d1b2b2b1,L0d1b2b2b,L0d1b2b2c1,L0d1b2b2c2,L0d1b2b2c,L0d1b2b2,L0d1b2b,L0d1b2,L0d1b,L0d1,L0d2a1a1a,L0d2a1a1,L0d2a1a2,L0d2a1a3,L0d2a1a,L0d2a1b,L0d2a1c,L0d2a1,L0d2a2,L0d2a,L0d2b1a1a,L0d2b1a1,L0d2b1a,L0d2b1b,L0d2b1,L0d2b2,L0d2b,L0d2d,L0d2a'b'd,L0d2c1a1,L0d2c1a,L0d2c1b,L0d2c1,L0d2c2a1a,L0d2c2a1,L0d2c2a,L0d2c2b,L0d2c2,L0d2c,L0d2,L0d1'2,L0d3a,L0d3b1,L0d3b2,L0d3b,L0d3,L0d
3170A	3170	VARIANT	U2e3a
9007T	9007	VARIANT	L3k1
9007G	9007	VARIANT	H1c1a1,F1b1e1,L3b3
261T	261	VARIANT	N11b
7046G	7046	VARIANT	R31b
15565C	15565	VARIANT	F1a3a1a,F1a3a1,F1a3a2,F1a3a3a,F1a3a3,F1a3a,F1a3+16311,F1a3b,F1a3,G1c1
3834A	3834	VARIANT	H2a1c,H103,HV4c,T2c1c1,T2g1a1,T2g1a,T2g1b,T2g1,B5b5,U9a1,U9a,U9b1,U9b,U9,U7a3b,K1b1a1c1,K1b1a1c,Y1a1,Y1a2,Y1a+16189,Y1a,Y1b1a,Y1b1,Y1b,Y1,Q1f1,M50a2,D1f2,L2a4b,L0a2a1b
13035A	13035	VARIANT	X2o1
14365T	14365	VARIANT	H4a1a1a1a1,H4a1a1a1a,H4a1a1a1,H4a1a1a2,H4a1a1a3,H4a1a1a4,H4a1a1a,H4a1a1,H4a1a2a1,H4a1a2a,H4a1a2,H4a1a3a,H4a1a3,H4a1a4a,H4a1a4b1,H4a1a4b2,H4a1a4b,H4a1a4,H4a1a+195,H4a1a5,H4a1a,H4a1c1a,H4a1c1,H4a1c2,H4a1c,H4a1d,H4a1
394T	394	VARIANT	U2e3a,U2e3
11252G	11252	VARIANT	J1c15a1,Z1a3
6284G	6284	VARIANT	K1a12a1a,K1a12a1,C1b10,L6a,L6b,L6
4065G	4065	VARIANT	N2a2,M77
12279G	12279	VARIANT	HV1d,M5b2b1a,M23,M75,M23'75
13035T	13035	VARIANT	H1be
5087C	5087	VARIANT	L1c2b1b1,L1c2b1b
4197T	4197	VARIANT	M42b2,M80,L0d1c1a1a1,L0d1c1a1a2,L0d1c1a1a,L0d1c1a1b,L0d1c1a1,L0d1c1a2,L0d1c1a,L0d1c1,L0d1c2a1,L0d1c2a,L0d1c2,L0d1c3,L0d1c
10490C	10490	VARIANT	T2b21a,L3e1g
